room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
9011614,31019553.0,Entire home/apt,Brooklyn,Bedford-Stuyvesant,1,5.0,,3.0,150.0,1.0,40.684659,-73.925765,2016-01-24 06:03:08.529869
9504843,19410959.0,Entire home/apt,Brooklyn,Bushwick,0,,3.0,3.0,215.0,3.0,40.699145,-73.91470799999998,2016-01-24 05:56:52.030187
9461962,49028198.0,Entire home/apt,Manhattan,East Village,4,3.5,,3.0,299.0,1.0,40.723933,-73.987974,2016-01-24 05:55:29.584396
7837347,13089720.0,Entire home/apt,Manhattan,Morningside Heights,0,,,3.0,180.0,2.0,40.814108,-73.960734,2016-01-24 05:50:28.252265
9027109,44784393.0,Entire home/apt,Brooklyn,Prospect-Lefferts Gardens,1,2.0,4.0,3.0,125.0,5.0,40.658351,-73.950171,2016-01-24 05:34:10.521285
690553,743742.0,Entire home/apt,Brooklyn,Williamsburg,105,5.0,,3.0,198.0,2.0,40.705605,-73.94202299999998,2016-01-24 05:33:15.370071
9631444,49812036.0,Entire home/apt,Manhattan,East Harlem,1,3.0,,3.0,170.0,5.0,40.79526,-73.936328,2016-01-24 05:31:16.824864
2406794,558568.0,Entire home/apt,Brooklyn,Bedford-Stuyvesant,2,3.5,,3.0,133.0,30.0,40.680266,-73.94815799999998,2016-01-24 05:20:42.571366
1346274,7303339.0,Entire home/apt,Brooklyn,Prospect Heights,16,4.5,4.0,3.0,295.0,2.0,40.67955900000001,-73.972502,2016-01-24 05:16:54.396243
5531003,28681796.0,Entire home/apt,Manhattan,Upper East Side,13,5.0,,3.0,415.0,7.0,40.770357,-73.949329,2016-01-24 05:11:41.942764
7842939,7797690.0,Entire home/apt,Brooklyn,Prospect-Lefferts Gardens,0,,,3.0,200.0,2.0,40.656036,-73.958995,2016-01-24 05:01:19.230610
2540173,7821383.0,Entire home/apt,Brooklyn,Prospect Heights,7,5.0,,3.0,450.0,1.0,40.674539,-73.96803100000002,2016-01-24 04:24:14.509626
9773852,50391275.0,Entire home/apt,Brooklyn,Bay Ridge,0,,,3.0,109.0,4.0,40.624878,-74.024874,2016-01-24 04:22:59.586174
9969773,39695769.0,Entire home/apt,Brooklyn,South Slope,0,,4.0,3.0,250.0,7.0,40.667193,-73.989572,2016-01-24 04:16:58.974956
875362,2948223.0,Entire home/apt,Brooklyn,Bushwick,141,4.5,,3.0,215.0,1.0,40.701416,-73.928996,2016-01-24 04:09:59.976242
17298,67105.0,Entire home/apt,Brooklyn,Bedford-Stuyvesant,21,4.5,,3.0,200.0,7.0,40.682906,-73.936638,2016-01-24 04:09:13.185362
5955894,24982374.0,Entire home/apt,Brooklyn,Clinton Hill,26,5.0,,3.0,248.0,1.0,40.694751,-73.96154399999998,2016-01-24 03:57:40.007019
7336658,38436652.0,Entire home/apt,Bronx,Clason Point,7,5.0,,3.0,125.0,2.0,40.815012,-73.861827,2016-01-24 03:32:33.096298
6713277,35137302.0,Entire home/apt,Brooklyn,Bedford-Stuyvesant,3,2.5,,3.0,120.0,30.0,40.687241,-73.94743100000002,2016-01-24 03:31:19.452288
10170471,13965946.0,Entire home/apt,Brooklyn,Bushwick,0,,,3.0,390.0,2.0,40.695452,-73.92674,2016-01-24 03:28:42.541697
4623635,1136842.0,Entire home/apt,Brooklyn,Clinton Hill,2,4.5,,3.0,210.0,30.0,40.690628,-73.969127,2016-01-24 03:25:21.873088
